split_new/AK Ghosh(aero)/101104062/lecture - 24.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 25.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 25.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 25.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 25.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 25.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 26.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 26.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 26.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 26.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 26.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=7 | 
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 27.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 28.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 28.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 28.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 28.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 29.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 29.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 29.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 29.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 30.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 30.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 30.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 30.txt | tail_line_position=1 | Indian Institute of Technology Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 31.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 31.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 31.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 31.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 31.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 32.txt | tail_line_position=5 | 
